property_id,pred_square_m,is_valid_json,ground_truth,score,latency,re
1,30000.0,True,30000.0,1.0,9.205445290999705,0.0
2,750000.0,True,750000.0,1.0,1.942696000000069,0.0
3,70000.0,True,70000.0,1.0,2.0115294170009292,0.0
4,60750.0,True,60702.85,1.0,2.027010709000024,0.001
5,200000.0,True,200000.0,1.0,1.9270224579995556,0.0
6,100000.0,True,100000.0,1.0,2.0627512909995858,0.0
7,52900.0,True,52609.13,1.0,1.8849702919997071,0.006
8,6493.17,True,6503.21,1.0,1.8659304169996176,0.002
9,4165.87,True,4180.63,1.0,1.8453458749991114,0.004
10,25000.0,True,25000.0,1.0,1.8670495830010623,0.0
11,18580.6,True,18580.6,1.0,1.889191917000062,0.0
12,12145.0,True,,0.0,1.9288120000001072,
13,5586.29,True,5574.18,1.0,2.019304999999804,0.002
14,46450.0,True,46451.5,1.0,1.9245105000009062,0.0
15,3267.48,True,3251.6,1.0,2.02768741699947,0.005
16,4645.0,True,4645.15,1.0,1.8786931659997208,0.0
17,1000000.0,True,1000000.0,1.0,2.1265299999995477,0.0
18,27872.94,True,27870.9,1.0,1.9172954589994333,0.0
19,12000.0,True,12000.0,1.0,2.047237834000043,0.0
20,250.0,True,,0.0,1.976469499999439,
21,100.0,True,,0.0,1.9816645000009885,
22,7500.0,True,7500.0,1.0,1.885988083000484,0.0
23,50000.0,True,50000.0,1.0,2.1793962080009806,0.0
24,30000.0,True,30000.0,1.0,2.326562707999983,0.0
25,40000.0,True,40000.0,1.0,2.0488540420010395,0.0
26,25000.0,True,25000.0,1.0,1.9228165000004083,0.0
27,1000000.0,True,1000000.0,1.0,2.124581957999908,0.0
28,18147.0,True,18210.87,1.0,2.0449147919989628,0.004
29,20000.0,True,20000.0,1.0,1.9204058749983233,0.0
30,12095000.0,True,12140589.05,1.0,2.1654120000002877,0.004
31,14095.0,True,14163.65,1.0,1.921502541999871,0.005
32,3678.45,True,3716.12,1.0,1.8838224169994646,0.01
33,9290.3,True,9290.3,1.0,1.8422527499988064,0.0
34,9290.3,True,9290.3,1.0,1.9789356250003038,0.0
35,140000.0,True,141639.97,1.0,1.9642420420004782,0.012
36,5517.04,True,5574.18,1.0,1.8804534999999305,0.01
37,6967.5,True,6967.73,1.0,1.8878215410004486,0.0
38,2787.06,True,2787.09,1.0,2.007270874999449,0.0
39,18000.0,True,18000.0,1.0,1.9164747500017256,0.0
40,27870.9,True,27870.9,1.0,2.0493563749987516,0.0
41,32000.0,True,32374.85,1.0,1.9174539590003405,0.012
42,8093.0,True,8093.72,1.0,2.0198444580000796,0.0
43,1858.06,True,1858.06,1.0,2.010735415999079,0.0
44,8000.0,True,8000.0,1.0,2.1433368340003653,0.0
45,1149.67,True,1147.48,1.0,2.1473025000013877,0.002
46,232.26,True,232.26,1.0,2.3687447080010315,0.0
47,1500.0,True,1500.0,1.0,2.1436364159999357,0.0
48,2500.0,True,2500.0,1.0,2.279808541999955,0.0
49,7500.0,True,7500.0,1.0,2.2771925830002147,0.0
50,464.73,True,464.52,1.0,2.2493383340006403,0.0
51,5000.0,True,5000.0,1.0,2.01441879199956,0.0
52,8000.0,True,8000.0,1.0,1.8836263339999277,0.0
53,12000.0,True,12000.0,1.0,2.185119082998426,0.0
54,15000.0,True,15000.0,1.0,2.046909708000385,0.0
55,10000.0,True,10000.0,1.0,1.9196547499996086,0.0
56,10000.0,True,10000.0,1.0,2.049650291999569,0.0
57,20000.0,True,20000.0,1.0,1.9255366249999497,0.0
58,20000.0,True,20000.0,1.0,1.9257337080016441,0.0
59,30000.0,True,30000.0,1.0,2.0532092079993163,0.0
60,1672.8,True,1672.25,1.0,2.1538237080003455,0.0
61,4842.0,True,,0.0,2.403406958001142,
62,1859.04,True,3035.14,0.0,1.8891100830005598,0.387
63,34000.0,True,300000.0,0.0,1.9202445829996577,0.887
64,150.0,True,,0.0,1.9756393750012649,
65,121400.0,True,121405.7,1.0,1.9607273749988963,0.0
