property_id,pred_square_m,is_valid_json,ground_truth,score,latency,re
1,30000.0,True,30000.0,1.0,7.362281959001848,0.0
2,750000.0,True,750000.0,1.0,1.5913093750023108,0.0
3,70000.0,True,70000.0,1.0,1.6620583750009246,0.0
4,,True,60702.85,,1.5027221249983995,
5,200000.0,True,200000.0,1.0,1.6665201249998063,0.0
6,10000.0,True,100000.0,0.0,1.6810021249984857,0.9
7,,True,52609.13,,1.3693323750012496,
8,,True,6503.21,,1.3870716670026013,
9,,True,4180.63,,1.376326790999883,
10,25000.0,True,25000.0,1.0,1.4697940409969306,0.0
11,,True,18580.6,,1.4147079579997808,
12,,True,,,1.41136354199989,
13,,True,5574.18,,1.5429804590021376,
14,,True,46451.5,,1.4089901670013205,
15,,True,3251.6,,1.5683599580006558,
16,4645.16,True,4645.15,1.0,1.64090537499942,0.0
17,,True,1000000.0,,1.5276161660003709,
18,,True,27870.9,,1.4413630419985566,
19,12000.0,True,12000.0,1.0,1.6132286669999303,0.0
20,250.0,True,,0.0,1.6624867910031753,
21,100.0,True,,0.0,1.636791249999078,
22,7500.0,True,7500.0,1.0,1.5700467909991858,0.0
23,50000.0,True,50000.0,1.0,1.8100137499968696,0.0
24,30000.0,True,30000.0,1.0,1.933279249999032,0.0
25,40000.0,True,40000.0,1.0,1.7160354169973289,0.0
26,,True,25000.0,,1.4323730420001084,
27,100.0,True,1000000.0,0.0,1.6660550410015276,1.0
28,,True,18210.87,,1.5605940829991596,
29,20000.0,True,20000.0,1.0,1.6216688340027758,0.0
30,,True,12140589.05,,1.5516103340014524,
31,,True,14163.65,,1.4670782920002239,
32,371.61,True,3716.12,0.0,1.6517056669981685,0.9
33,,True,9290.3,,1.409502208000049,
34,9290.3,True,9290.3,1.0,1.7682911669980967,0.0
35,,True,141639.97,,1.4705822079995414,
36,5670.0,True,5574.18,1.0,1.6982275420014048,0.017
37,,True,6967.73,,1.4527535420020286,
38,,True,2787.09,,1.519638958001451,
39,18000.0,True,18000.0,1.0,1.6379877500003204,0.0
40,,True,27870.9,,1.4044691660019453,
41,,True,32374.85,,1.4017825830014772,
42,,True,8093.72,,1.528869958998257,
43,,True,1858.06,,1.57116358300118,
44,8000.0,True,8000.0,1.0,1.7931471659976523,0.0
45,1139.26,True,1147.48,1.0,1.8943258750005043,0.007
46,232.26,True,232.26,1.0,2.0835163749979984,0.0
47,1500.0,True,1500.0,1.0,1.7671950840012869,0.0
